STATE_NAME,YEAR,ANNUAL RAINFALL
Johor,2000,2464.6883
Johor,2001,2713.8250
Johor,2002,2173.9733
Johor,2003,2394.0417
Johor,2004,2298.8267
Johor,2005,2224.3283
Johor,2006,2699.4417
Johor,2007,2703.0850
Johor,2008,2538.4717
Johor,2009,2281.8150
Johor,2010,2348.0583
Kedah,2000,2611.3420
Kedah,2001,2204.8820
Kedah,2002,1758.4000
Kedah,2003,2378.5400
Kedah,2004,1843.8440
Kedah,2005,2194.6420
Kedah,2006,1981.2200
Kedah,2007,2215.2460
Kedah,2008,2403.6980
Kedah,2009,2399.3400
Kedah,2010,2294.9440
Kelantan,2000,3045.1850
Kelantan,2001,2282.6000
Kelantan,2002,1956.5175
Kelantan,2003,2331.5575
Kelantan,2004,1913.7650
Kelantan,2005,2343.6250
Kelantan,2006,2066.8550
Kelantan,2007,2080.7600
Kelantan,2008,2923.0975
Kelantan,2009,2599.0925
Kelantan,2010,2464.2025
Melaka,2000,2425.4400
Melaka,2001,2519.1300
Melaka,2002,2353.9400
Melaka,2003,2352.6300
Melaka,2004,2159.9200
Melaka,2005,2161.3700
Melaka,2006,2593.9000
Melaka,2007,2454.1000
Melaka,2008,2555.9600
Melaka,2009,2313.2700
Melaka,2010,2411.9600
Negeri Sembilan,2000,2502.7500
Negeri Sembilan,2001,2525.4250
Negeri Sembilan,2002,2405.8850
Negeri Sembilan,2003,2435.9500
Negeri Sembilan,2004,2260.8150
Negeri Sembilan,2005,2176.4950
Negeri Sembilan,2006,2750.2250
Negeri Sembilan,2007,2503.7300
Negeri Sembilan,2008,2693.9400
Negeri Sembilan,2009,2416.2850
Negeri Sembilan,2010,2517.8100
Pahang,2000,2542.1067
Pahang,2001,2577.8850
Pahang,2002,2046.1817
Pahang,2003,2638.3167
Pahang,2004,2292.0233
Pahang,2005,2266.9517
Pahang,2006,2448.2333
Pahang,2007,2634.5483
Pahang,2008,2746.9900
Pahang,2009,2835.5083
Pahang,2010,2259.4067
Perlis,2000,2514.4583
Perlis,2001,2135.3683
Perlis,2002,1915.8717
Perlis,2003,2499.8983
Perlis,2004,2010.0583
Perlis,2005,2226.5383
Perlis,2006,2242.8833
Perlis,2007,2146.3833
Perlis,2008,2707.5883
Perlis,2009,2723.6383
Perlis,2010,2230.4033
Pulau Pinang,2000,2615.2529
Pulau Pinang,2001,2447.0357
Pulau Pinang,2002,2323.2814
Pulau Pinang,2003,2559.3043
Pulau Pinang,2004,2349.0714
Pulau Pinang,2005,2220.3729
Pulau Pinang,2006,2815.4643
Pulau Pinang,2007,2507.7371
Pulau Pinang,2008,2840.8043
Pulau Pinang,2009,2619.8557
Pulau Pinang,2010,2545.9000
Sarawak,2000,3103.5157
Sarawak,2001,2771.2029
Sarawak,2002,2325.0457
Sarawak,2003,2925.5200
Sarawak,2004,2669.8229
Sarawak,2005,2657.6486
Sarawak,2006,2668.4114
Sarawak,2007,2647.1586
Sarawak,2008,3319.7214
Sarawak,2009,3263.7514
Sarawak,2010,2601.4571
Selangor,2000,2939.5721
Selangor,2001,3007.6143
Selangor,2002,2060.4729
Selangor,2003,2509.8586
Selangor,2004,2095.5543
Selangor,2005,3071.9964
Selangor,2006,3590.7757
Selangor,2007,2793.7229
Selangor,2008,3117.3657
Selangor,2009,2829.0043
Selangor,2010,2764.3214
Terengganu,2000,3236.4433
Terengganu,2001,3123.1673
Terengganu,2002,3008.1053
Terengganu,2003,3468.3113
Terengganu,2004,3227.1807
Terengganu,2005,2950.9560
Terengganu,2006,3101.1133
Terengganu,2007,3663.4480
Terengganu,2008,3976.8433
Terengganu,2009,3586.4033
Terengganu,2010,3665.6460
